x,unknown_p,query_p,solve_p,total_p,unknown_nf2,query_nf2,solve_nf2,total_nf2
0.01,8.208465815219379e-07,587996.060805,1634447.621965,3130723.351068,8.208465998962866e-07,444686.034179,1803777.278795,2847196.275664
0.25,1.0291120208764374e-05,454369.230606,1959887.304978,3396284.717557,1.0712414146894933e-05,789450.442854,1853034.029812,3544755.444982
0.5,1.9362429931793287e-05,534973.565791,2101825.139746,3643281.09585,1.9503275468541765e-05,480715.480027,1939539.131044,3436744.125865
0.75,2.457744706268126e-05,457612.216553,2206947.575325,3526655.014113,2.4783463355229483e-05,465027.33111,2078772.305265,3474774.642491
0.99,2.734744030823505e-05,435378.669574,2379743.380183,3407281.517949,2.858030578731645e-05,487611.819679,2144040.111755,3663610.45986
