x,unknown_p,query_p,solve_p,total_p,unknown_nf2,query_nf2,solve_nf2,total_nf2
0.01,8.367689104617565e-07,340021.371372,1137488.871215,2260908.412102,8.367689106162417e-07,413360.213985,732368.81173,1390946.929804
0.25,1.0439884338220582e-05,354582.466444,1765737.68416,2650036.589777,1.0840123152932276e-05,450889.417222,1397317.286837,2498304.413059
0.5,1.9649546157042427e-05,395547.332281,1740571.245003,2947624.748403,1.9822944640522113e-05,489671.945091,1768034.811114,3254665.515598
0.75,2.4753890828923318e-05,514126.228277,1967285.695357,3305346.227564,2.498432167463563e-05,508907.25229,2022146.214807,3368294.934491
0.99,2.7585149543534583e-05,424194.219484,2012244.700865,3172208.805527,2.8735798084054957e-05,558342.760144,2150220.487933,3363773.830627
