x,unknown_p,query_p,solve_p,total_p,unknown_nf2,query_nf2,solve_nf2,total_nf2
0.01,1.7318860996584246e-05,6456.856488,3098.995436,9677.075829,1.7318860996693828e-05,12186.140039,3098.846253,15401.772284
0.25,0.0001313295281004115,6727.626776,3095.023232,9986.34303,0.00013132952810619106,12974.283101,3223.514422,16356.925993
0.5,0.00021767234851991226,7108.881685,3269.313333,10551.338082,0.00021767234838847397,13356.546822,3329.678446,16902.935414
0.75,0.00029326411804661426,7233.032018,3501.765178,10685.464721,0.00029326411806794713,14324.684732,3476.213297,17976.498404
0.99,0.0003260559865025311,7570.88207,3551.402936,11178.113649,0.0003260559864989028,15062.098477,3616.894624,18836.871397
