x,unknown_p,query_p,solve_p,total_p,unknown_nf2,query_nf2,solve_nf2,total_nf2
0.01,2.657583141344651e-12,17262.958512,6618.25182,24905.205514,2.657583141329833e-12,40331.840176,6628.977101,47897.350605
0.25,3.5891506191540775e-11,22675.976899,8232.693112,31751.424832,4.634654658145973e-11,50356.470238,8023.242158,68248.998827
0.5,7.488359986720263e-11,27674.307259,10621.207332,40356.269787,7.214089190671942e-11,63591.633655,9568.328246,88030.38912
0.75,7.114533738556961e-11,31346.997772,10937.865188,43692.947399,6.54689526462622e-11,58747.182039,11064.950083,71461.340086
0.99,5.596323984662696e-11,29706.57781,12332.800303,43172.36735,7.09933397266306e-11,62795.625747,12393.972626,76165.601806
