x,unknown_p,query_p,solve_p,total_p,unknown_nf2,query_nf2,solve_nf2,total_nf2
0.01,7.414415268109118e-10,371.055994,420.395032,892.929287,7.414415268108303e-10,1203.231094,465.620226,1705.245667
0.25,4.852219170006693e-08,495.515542,532.90103,1034.619332,4.8522191700071335e-08,1314.534147,515.668723,1895.237014
0.5,2.375447423984337e-08,532.288186,561.064921,1129.534389,2.3754474239845017e-08,1391.580973,467.278528,1939.123567
0.75,1.6329819760183407e-07,604.820334,634.295955,1299.515509,1.6329819760183235e-07,1498.224626,639.597031,2181.407282
0.99,3.812816941207103e-07,670.755654,663.522618,1381.408286,3.8128169412071383e-07,1779.019327,708.396639,2540.509638
