x,unknown_p,query_p,solve_p,total_p,unknown_nf2,query_nf2,solve_nf2,total_nf2
0.01,2.97114793877272e-11,350.773682,425.832108,808.733406,2.971147938740339e-11,2750.353688,438.784342,3213.724367
0.25,1.4185048530422457e-10,410.605268,464.353364,915.924061,1.4185048530427456e-10,3204.278437,489.519634,3732.54042
0.5,2.4936840187260383e-10,468.990452,534.041342,1044.162457,2.4936840187268334e-10,3801.065079,525.892455,4372.252547
0.75,2.866745772891543e-10,470.441319,565.415478,1079.259368,2.866745772891102e-10,4202.23119,593.462822,4840.87676
0.99,2.326050690733565e-10,570.166803,620.318733,1255.27361,2.326050690733785e-10,4804.524392,628.382436,5492.4613
