x,unknown_p,query_p,solve_p,total_p,unknown_nf2,query_nf2,solve_nf2,total_nf2
0.01,8.367691927061548e-07,375495.571896,109453.940638,499067.188785,8.36769174733702e-07,363196.235551,171425.468871,578057.358257
0.25,1.0439876134303817e-05,348019.188579,180762.884062,690895.098594,1.0840132573429385e-05,401741.916595,1105572.535091,1527096.79169
0.5,1.9649512759176882e-05,435567.097615,1306809.116344,1938985.706291,1.9822908910943895e-05,504530.63984,1271303.151694,1839277.999901
0.75,2.475385576621725e-05,409424.763167,1569452.926649,2760972.750188,2.4984273928710525e-05,507053.715472,1436641.067203,2521785.653769
0.99,2.7585152531856338e-05,551376.228923,1845388.384039,3100432.558381,2.873580120406004e-05,1160214.311632,1885962.784917,3564345.543701
