x,unknown_p,query_p,solve_p,total_p,unknown_nf2,query_nf2,solve_nf2,total_nf2
0.01,1.7318861002818585e-05,5280.740019,2566.194214,7961.429752,1.7318861002821078e-05,10093.449626,2687.930482,12887.890011
0.25,0.000131329528136752,5726.043473,2723.020457,8537.49261,0.0001313295281368085,10554.082434,2876.70899,13562.955382
0.5,0.0002176558478818943,5829.228745,2966.024952,8968.666818,0.0002176558478383648,11092.746997,3060.024548,14434.457841
0.75,0.0002932641181349671,6263.817857,3077.410949,9501.714423,0.0002932641181349331,11030.93908,3241.933157,14571.596928
0.99,0.00032605598659215,6451.993343,3233.468777,9789.722668,0.0003260559865922555,12437.349737,3388.035859,15905.090177
