x,unknown_p,query_p,solve_p,total_p,unknown_nf2,query_nf2,solve_nf2,total_nf2
0.01,1.1184518857233821e-14,23405.726863,8431.463686,40959.306604,1.118451885293739e-14,598549.872381,9705.557779,626203.371012
0.25,1.2646343476067747e-13,67792.197523,11224.079894,93621.204575,3.4672303848699205e-14,749886.07998,11627.916341,780120.004436
0.5,1.8406852990447053e-13,41995.794832,11328.970752,70299.553498,5.760973593589213e-14,966614.126837,12577.319089,993494.000492
0.75,1.2552995845637688e-13,128057.571319,14448.622262,162427.95519,1.1634206325735319e-13,1037325.089175,13859.266403,1058129.657166
0.99,1.0184360044978224e-13,31038.520443,14820.797794,49609.293574,1.1530301250589674e-13,1184350.579619,14793.68106,1201772.558984
