x,unknown_p,query_p,solve_p,total_p,unknown_nf2,query_nf2,solve_nf2,total_nf2
0.01,1.632336734482006e-05,6784.244765,3294.040793,10072.274661,1.6323367344819855e-05,11408.313338,3221.142446,14741.33271
0.25,0.0001278973606508385,6936.447136,3272.501096,10377.630126,0.00012789736065076785,12214.336041,3387.121378,15848.608491
0.5,0.00020773718707730647,7168.906991,3442.766916,10763.316533,0.0002077371871001172,12978.16347,3547.900583,16632.027375
0.75,0.0002798817474444211,7687.135262,3612.712909,11487.257299,0.0002798817474443602,13398.499111,3746.817625,17283.112257
0.99,0.0003169794176466663,8430.722021,3751.999293,12354.124403,0.0003169794176465829,14540.17165,3930.014295,18601.392976
