scale,avg_partitioning,stdev_partitioning,median_partitioning,min_partitioning,max_partitioning,avg_nf2,stdev_nf2,median_nf2,min_nf2,max_nf2
100,214.32842960000002,29.18410893770487,229.530396,178.198471,242.5941,313.8376888,51.20550912950722,294.105451,266.387594,378.13903
1000,7241.70429,156.28856518310593,7317.994608,6990.50069,7366.13001,9583.401799,431.00162067363254,9741.752744,8898.063299,9978.807583
10000,502779.858292,143665.29404658332,444155.584345,376921.54086,715544.376761,450874.6033791999,173302.75500561012,345841.011629,332980.604594,737913.644887
