scale,avg_partitioning,stdev_partitioning,median_partitioning,min_partitioning,max_partitioning,avg_nf2,stdev_nf2,median_nf2,min_nf2,max_nf2
100,29.656633399999997,9.425644791339147,26.098704,21.361586,42.108982,74.2296072,11.197006525727364,79.566193,59.768654,85.745483
1000,657.2942752,39.826979127279564,643.676261,615.803421,720.816979,1290.726383,69.16479831765955,1311.219665,1170.796457,1344.923979
10000,30209.982727999995,2297.5248947394102,29348.710259,27773.402017,33240.280311,43929.2307286,200.63572278454672,43992.895558,43621.264061,44144.580206
