scale,avg_partitioning,stdev_partitioning,median_partitioning,min_partitioning,max_partitioning,avg_nf2,stdev_nf2,median_nf2,min_nf2,max_nf2
100,257.66872980000005,73.45007133766603,244.453369,179.169348,373.24393,326.2682742,57.655665626003106,304.484841,265.541107,404.152109
1000,9539.766237200001,202.0068208874666,9571.724872,9207.877615,9714.86467,10089.311581999998,360.0323872923435,10028.715413,9574.178795,10449.498381
10000,487839.239863,31665.972714865162,499465.90769,432485.611913,512221.433692,409074.2423314,44344.02638045111,426083.626715,330954.469802,438486.147354
