scale,avg_partitioning,stdev_partitioning,median_partitioning,min_partitioning,max_partitioning,avg_nf2,stdev_nf2,median_nf2,min_nf2,max_nf2
100,27.9582248,9.59151112487111,26.208985,19.504343,43.545495,56.249235,8.218452444574282,54.081542,48.575602,66.062484
1000,570.8216454,24.570308530370397,558.084494,548.006473,604.746772,4328.9372174,98.40950544348844,4380.897346,4158.760776,4394.662272
10000,40307.756733400005,25284.280607153083,28717.756246,22653.451864,83650.770712,1198157.6921314,27621.908107081792,1186211.058295,1185195.344283,1247559.337047
