scale,avg_partitioning,stdev_partitioning,median_partitioning,min_partitioning,max_partitioning,avg_nf2,stdev_nf2,median_nf2,min_nf2,max_nf2
100,229.39842200000004,44.064982101417556,208.626415,188.281938,280.590006,368.4664028,32.16948526452182,377.505073,318.400689,396.334322
1000,7852.447946599999,363.4400729896577,7992.386934,7210.430708,8066.748785,10603.533535999999,853.6374713603577,10996.075814,9078.459967,11030.812151
10000,485573.39333800005,18159.370419431812,476346.86556,470186.688481,514930.245524,377406.9569352,16090.074400212548,372129.022158,363175.742012,400862.634118
